project,merge commit,left commit,right commit,base commit,className,method,local_clone,local_clone_module_analysis,empty_diff_base_left,empty_diff_base_right,empty_diff_base_merge,,
spring-boot,af20dc6cc45c032573413c401f9f73aa75371744,fc78a8de90,159ef8f189,c808de0021578b4b9ba0881a33c9ed20db2465a5,org.springframework.boot.loader.archive.ExplodedArchive,getUrl(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/spring-boot,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/spring-boot,false,false,false,Merge conflicts happen. The problem here is that the resulted program does not consider the changes performed by the parents, so the integrator completely changed the code.
spring-boot,ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c,dd4b9b1788,2fe0819495,604ca524912c7a4e105746138bafc1eeedec3b50,org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory,createDeploymentManager(ServletContextInitializer),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/spring-boot,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/spring-boot,false,false,false,"Parents may change the same returned object. Left sets one attribute of object deployment, which is used to create the returned method object manager. Right modifies how the returned manager object is created; before, it was done by calling the method defaultContainer from Servlets, and now it’s done by calling the method newContainer. By far, I don’t see any difference between these two methods, as both return a object of type ServletContainer. Merge conflicts also happen.",
eureka,6b09030e95e118a784ca7ec616398a4f0e384bcd,578f4c0417,0a539722f4,20a425e53987ff6bfe231ed2149afdc9fa4c9da6,com.netflix.appinfo.ApplicationInfoManager,constructor(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/eureka,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/eureka,false,false,false,,
atmosphere,ffc0c6e274094c6423e29d1c45bab1593b8fac7d,95e310c5cf,41d97a409b,d072d5d4b3ce20c715bad64b9303189d4726fecc,org.atmosphere.cpr.AtmosphereConfig,constructor(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/atmosphere,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/atmosphere,false,false,false,,
jsoup,fee4762322f85a1109edd75ccb67f38cf5008c80,514dcd87,83ad1bc4,8165206e8ac599512434e88267a78e543cfdc3f7,org.jsoup.helper.HttpConnection,createConnection(Connection.Request),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jsoup,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jsoup,false,false,false,,
retrofit,2b6c719c6645f8e48dca6d0047c752069d321bc4,784a32be,e60fd394,7780666f70e208359818650a38adee03f3982705,retrofit.RestAdapter,"logAndReplaceResponse(String, Response, long)",/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/retrofit,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/retrofit,false,false,false,,
retrofit,2b6c719c6645f8e48dca6d0047c752069d321bc4,784a32be,e60fd394,7780666f70e208359818650a38adee03f3982705,retrofit.RestAdapter,logAndReplaceRequest(Request),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/retrofit,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/retrofit,false,false,false,,
Activiti,bf46684ba62f5883673ea8fb0a14aecfe0aedea2,25e35a7abc,0fb87a7c9d,2b77b75ddc0d015208d3d1af5d98d04523c5c41a,org.activiti.engine.impl.bpmn.behavior.UserTaskActivityBehavior,execute(ActivityExecution),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/Activiti,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/Activiti,false,false,false,,
okhttp,1151c9853ccc3c9c3211c613b9b845b925f8c6a6,4c8ce7cad,cd16580d2,1b25214f59eefa81d40a529fceb85666947937cd,com.squareup.okhttp.internal.bytes.GzipSource,consumeHeader(Deadline),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/okhttp,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/okhttp,false,false,false,,
HikariCP,1bca94af9ec625f21d1b58ff10efb5be71ab87a6,da5c0268,b4510a50,9eb405e5b81082044daca981b2655396c4e9a6eb,com.zaxxer.hikari.HikariConfig,validate(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/HikariCP,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/HikariCP,false,false,false,,
HikariCP,1bca94af9ec625f21d1b58ff10efb5be71ab87a6,da5c0268,b4510a50,9eb405e5b81082044daca981b2655396c4e9a6eb,com.zaxxer.hikari.HikariPool,addConnection(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/HikariCP,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/HikariCP,false,false,false,,
quickml,bae968d9a85c0501ba8842a6f88e7fc2c6b78693,1500dd50,5dc20910,2ee97612827bb293b5f8cdc020a61942c07d6f83,quickdt.experiments.OutOfTimeCrossValidatorRunner,"getRandomForestBuilder(int, int)",/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/quickml,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/quickml,false,false,false,,
pushy,58901c846e4f0874977c5aabbc34bcb4de3670e0,87b2e6aa,78ce48df,a98d82087aec1aed2db5bcc889b9e3226789e852,com.relayrides.pushy.apns.PushManager,handleConnectionClosure(ApnsConnection<T>),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/pushy,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/pushy,false,false,false,,
java-faker,ca42fcfaf45cae1754c58e02e1d5d2a58ec03561,52b17b0,9a178bb,a15e9a97ee4c5d6f1ff2a56e30fc093de2d4770d,com.github.javafaker.Faker,Faker(Locale| Random),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/java-faker,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/java-faker,false,false,false,,
swagger-core,e7fea7c4889dbdd6a4e0b2d059c8aa0f126ab1c2,afcc523f1,ab79e607a,3a6c7f40f762afd9efeaa57f45fb759957832fc5,io.swagger.jaxrs2.OperationParser,getSchemaFromAnnotation(io.swagger.oas.annotations.media.Schema),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/swagger-core,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/swagger-core,false,false,false,,
cucumber-jvm,4505c156b6267c1b760deec570ddbfe047b42aa9,4f458e79c,62ed91808,1eb7936c19790c191e5087883f94ef77dd01f6f2,cuke4duke.internal.java.JavaLanguage,load(String),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/cucumber-jvm,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/cucumber-jvm,false,false,false,,
